iter	Logloss	Accuracy
292	0.2417904625	0.9260089686
293	0.2409769847	0.9260089686
294	0.2409047469	0.9260089686
295	0.2406660775	0.9260089686
296	0.2396474051	0.9260089686
297	0.2394064675	0.9260089686
298	0.2392824106	0.9260089686
299	0.239208944	0.9260089686
300	0.2385319353	0.9260089686
301	0.2379383742	0.9260089686
302	0.2373374785	0.9260089686
303	0.2366154547	0.9260089686
304	0.2363991904	0.9260089686
305	0.2358276023	0.9237668161
306	0.2347942825	0.9260089686
307	0.2343778064	0.9260089686
308	0.2340214057	0.9237668161
309	0.2339128776	0.9237668161
310	0.2336709022	0.9260089686
311	0.2335377318	0.9260089686
312	0.2334061503	0.9282511211
313	0.2330842051	0.9282511211
314	0.2327058272	0.9282511211
315	0.2325781779	0.9282511211
316	0.2324092641	0.9282511211
317	0.2318642559	0.9282511211
318	0.2315662615	0.9260089686
319	0.2311133856	0.9282511211
320	0.2310090497	0.9282511211
321	0.2307007476	0.9282511211
322	0.2305205128	0.9282511211
323	0.2302431367	0.9282511211
324	0.2300543133	0.9282511211
325	0.2298742561	0.9282511211
326	0.2293685164	0.9260089686
327	0.2289431543	0.9260089686
328	0.2286862448	0.9260089686
329	0.2283073973	0.9304932735
330	0.2279030577	0.9304932735
331	0.2277870268	0.9304932735
332	0.2277147175	0.9304932735
333	0.2274746366	0.9304932735
334	0.226605879	0.9304932735
335	0.2265008496	0.9304932735
336	0.2264012825	0.9304932735
337	0.2259916981	0.9304932735
338	0.2254140467	0.9304932735
339	0.2252806977	0.9304932735
340	0.2251682441	0.9304932735
341	0.2248765578	0.9304932735
342	0.2244906144	0.9282511211
343	0.2240807231	0.9282511211
344	0.2235723648	0.9282511211
345	0.2232045975	0.9304932735
346	0.2229236556	0.9304932735
347	0.222489427	0.9304932735
348	0.2221477992	0.9304932735
349	0.2213588129	0.932735426
350	0.2211632566	0.932735426
351	0.2210082104	0.932735426
352	0.220586762	0.932735426
353	0.2203275297	0.932735426
354	0.2196886317	0.932735426
355	0.2195132453	0.932735426
356	0.2192494285	0.932735426
357	0.2191022777	0.9349775785
358	0.2187492035	0.9349775785
359	0.2176606491	0.932735426
360	0.216917961	0.932735426
361	0.2165273704	0.932735426
362	0.2156652463	0.9349775785
363	0.2156179802	0.9349775785
364	0.2155127863	0.9349775785
365	0.2147008422	0.9349775785
366	0.2145314758	0.9349775785
367	0.214045489	0.9349775785
368	0.2136497932	0.9349775785
369	0.2135977034	0.9349775785
370	0.2130553677	0.9349775785
371	0.2129553408	0.9349775785
372	0.212401643	0.9349775785
373	0.2121070045	0.9372197309
374	0.2119277382	0.9372197309
375	0.2116421092	0.9372197309
376	0.2110628232	0.9372197309
377	0.2109917627	0.9372197309
378	0.2104404776	0.9349775785
379	0.2099035209	0.9349775785
380	0.2093843028	0.9349775785
381	0.2087234941	0.9349775785
382	0.208690323	0.9349775785
383	0.2086144272	0.9349775785
384	0.2079927235	0.9349775785
385	0.207346434	0.9349775785
386	0.2062959528	0.9349775785
387	0.2059606355	0.9349775785
388	0.2053535195	0.9349775785
389	0.2049081672	0.9372197309
390	0.2046641254	0.9372197309
391	0.2041364304	0.9372197309
392	0.2040456529	0.9372197309
393	0.204000752	0.9372197309
394	0.203750903	0.9372197309
395	0.2035974599	0.9394618834
396	0.2033594978	0.9394618834
397	0.2025702885	0.9417040359
398	0.202420686	0.9417040359
399	0.2020530076	0.9417040359
400	0.2016230704	0.9417040359
401	0.201467193	0.9439461883
402	0.2011645155	0.9439461883
403	0.2002052434	0.9439461883
404	0.2000246645	0.9439461883
