iter	Accuracy	Logloss
446	0.996	0.08983632708
447	0.996	0.08969160062
448	0.996	0.08946109281
449	0.996	0.08896761716
450	0.996	0.08886327335
451	0.996	0.08882570761
452	0.996	0.08812652227
453	0.996	0.08776604294
454	0.996	0.08775788223
455	0.996	0.08730287948
456	0.996	0.08712305299
457	0.996	0.08700070565
458	0.996	0.08669227459
459	0.996	0.08663119392
460	0.996	0.0865750821
461	0.996	0.08605171767
462	0.996	0.08579225715
463	0.996	0.08554347557
464	0.996	0.08542525305
465	0.996	0.08540892634
466	0.996	0.08521867414
467	0.996	0.08509836589
468	0.996	0.08480064081
469	0.996	0.08461795309
470	0.996	0.08452250059
471	0.996	0.08428099889
472	0.996	0.08405651167
473	0.996	0.08346422648
474	0.996	0.0831342161
475	0.9973333333	0.08267786772
476	0.9973333333	0.08262163904
477	0.9973333333	0.08250755694
478	0.9973333333	0.0824610274
479	0.996	0.0821581123
480	0.996	0.08198224732
481	0.996	0.08166012327
482	0.996	0.08160883105
483	0.996	0.08157676169
484	0.996	0.08126594657
485	0.996	0.0811757599
486	0.996	0.08088079975
487	0.996	0.08071701853
488	0.996	0.08065888926
489	0.996	0.08048758352
490	0.9986666667	0.08026919687
491	0.996	0.07996567785
492	0.9973333333	0.0797125422
493	0.9973333333	0.07952761778
494	0.9973333333	0.07951158474
495	0.9986666667	0.07936850425
496	0.9986666667	0.07934857123
497	0.9986666667	0.07905277742
498	0.9986666667	0.07872017804
499	0.9973333333	0.07848880521
500	0.9973333333	0.07826699304
501	0.9973333333	0.0782147952
502	0.9973333333	0.078160403
503	0.9973333333	0.07814561428
504	0.9973333333	0.07788615477
505	0.9973333333	0.07769348924
506	0.9973333333	0.07736736712
507	0.9973333333	0.07727540434
508	0.9973333333	0.07702558499
509	0.9973333333	0.07702333536
510	0.9973333333	0.07681060047
511	0.9973333333	0.07654071086
512	0.9973333333	0.07629817025
513	0.9973333333	0.07598180579
514	0.9973333333	0.07581738037
515	0.9973333333	0.07560167155
516	0.9973333333	0.07543097811
517	0.9973333333	0.07494604755
518	0.9973333333	0.0749290354
519	0.9986666667	0.07473655373
520	0.9986666667	0.07447862283
521	0.9986666667	0.07435969772
522	0.9986666667	0.07429978497
523	0.9986666667	0.07410839148
524	0.9986666667	0.07402137873
525	0.9986666667	0.07383296338
526	0.9986666667	0.0734074685
527	0.9986666667	0.07323935719
528	0.9986666667	0.07299819961
529	0.9986666667	0.07268098683
530	0.9986666667	0.07263894805
531	0.9986666667	0.07245101749
532	0.9986666667	0.07234350447
533	0.9986666667	0.07220477176
534	0.9986666667	0.07182767809
535	0.9986666667	0.07168109594
536	0.9986666667	0.07145884858
537	0.9986666667	0.07125808163
538	0.9986666667	0.0710195737
539	0.9986666667	0.07080691487
540	0.9986666667	0.07055154399
541	0.9986666667	0.07037474936
542	0.9986666667	0.07026490142
543	0.9986666667	0.07006090843
544	0.9986666667	0.0699046295
545	0.9986666667	0.06966147556
546	0.9986666667	0.06944178548
547	0.9986666667	0.06927259399
548	0.9986666667	0.06904477415
549	0.9986666667	0.06870112879
550	0.9986666667	0.06848811266
551	0.9986666667	0.06845784011
552	0.9986666667	0.06838659961
553	0.9986666667	0.06829883247
554	0.9986666667	0.06816431568
555	0.9986666667	0.06782271509
556	0.9986666667	0.06751107544
557	0.9986666667	0.06712109725
558	1	0.06636408303
559	1	0.06610815136
560	1	0.06588520824
561	1	0.06570976737
562	1	0.06567178076
563	1	0.06565162698
564	1	0.06560558072
565	1	0.06542465609
566	1	0.06531568058
567	1	0.06528501695
568	1	0.06524707855
569	1	0.06512779139
570	1	0.06489679452
571	1	0.06484391736
572	1	0.0646789793
573	1	0.06457843088
574	1	0.06449315949
575	1	0.06443585536
576	1	0.06425744318
577	1	0.06398279521
578	1	0.06391578518
579	1	0.06362010731
580	1	0.06356393278
581	1	0.06351105831
582	1	0.06343808367
583	1	0.06323847878
584	1	0.06299649034
585	1	0.0627524411
586	1	0.06260801947
587	1	0.06258951678
588	1	0.06253217364
589	1	0.06244553024
590	1	0.06205669484
591	1	0.06183736121
592	1	0.06152038383
593	1	0.06136123283
594	1	0.06123001375
595	1	0.061159057
596	1	0.06112223451
597	1	0.06109737142
598	1	0.06104913091
599	1	0.06089802607
600	1	0.06058231568
601	1	0.06040639776
602	1	0.06017108704
603	1	0.060032466
604	1	0.06000068284
605	1	0.05997533108
606	1	0.05971012126
607	1	0.05952451854
608	1	0.05922565304
609	1	0.0591352882
610	1	0.05900880173
611	1	0.05891146135
612	1	0.05878694587
613	1	0.05877702199
614	1	0.05860271951
615	1	0.05848184303
616	1	0.05848036787
617	1	0.05841276428
618	1	0.05827600604
619	1	0.05825654325
620	1	0.05819422289
621	1	0.05810820149
622	1	0.05775762453
623	1	0.05764145387
624	1	0.05759292517
625	1	0.05736956801
626	1	0.05734285648
627	1	0.05731010695
628	1	0.05728117887
629	1	0.05707295407
630	1	0.05690861958
631	1	0.05682058824
632	1	0.05673395087
633	1	0.05672616743
634	1	0.05652419504
635	1	0.05649271812
636	1	0.05642464844
637	1	0.05619061099
638	1	0.05615272442
639	1	0.05607641007
640	1	0.05602322265
641	1	0.05598075303
642	1	0.05596864131
643	1	0.05587674202
644	1	0.0557956075
645	1	0.0555254226
646	1	0.05541793989
647	1	0.05529211441
648	1	0.05505994916
649	1	0.05490043935
650	1	0.05487255198
651	1	0.05477822115
652	1	0.05463038006
653	1	0.05447784033
654	1	0.05441791212
655	1	0.05440020235
656	1	0.05427020437
657	1	0.05420247617
658	1	0.05412520994
659	1	0.054012176
660	1	0.05395092549
661	1	0.05387199186
662	1	0.05380703814
663	1	0.0537407337
664	1	0.05363042113
665	1	0.05354891342
666	1	0.05333295492
667	1	0.05332518475
668	1	0.05328692092
669	1	0.05323076703
670	1	0.05311057105
671	1	0.05304838853
672	1	0.05293574072
673	1	0.05274095323
674	1	0.05263738304
675	1	0.05260293317
676	1	0.05241922083
677	1	0.05237544478
678	1	0.05228084878
679	1	0.05209213042
680	1	0.05196238521
681	1	0.05183118485
682	1	0.0518286642
683	1	0.05167718161
684	1	0.05148442229
685	1	0.05138505556
686	1	0.0512746099
687	1	0.05117657131
